,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link,combo
3096,the lazarus effect,David Gelb,Mark Duplass Olivia Wilde Donald Glover,Horror Thriller Mystery,243940,https://image.tmdb.org/t/p/w500//4aq0TOLvITU3iWRUfxlRc83lMz1.jpg,5.256,83min,https://www.imdb.com/title/tt2918436,horror thriller mystery science fiction david gelb mark duplass olivia wilde donald glover
3097,maps to the stars,David Cronenberg,Julianne Moore Mia Wasikowska Olivia Williams,Drama,157851,https://image.tmdb.org/t/p/w500//i3OjVac1u8r4C4D0hWvwKQ7VJor.jpg,6.158,112min,https://www.imdb.com/title/tt2172584,drama david cronenberg julianne moore mia wasikowska olivia williams
3098,out of the dark,Lluís Quílez,Julia Stiles Scott Speedman Stephen Rea,Thriller Horror,283686,https://image.tmdb.org/t/p/w500//Lql2rnNRmKJrjq4FhEUh7IwkNd.jpg,4.981,92min,https://www.imdb.com/title/tt2872724,thriller horror lluís quílez julia stile scott speedman stephen rea
3099,bad asses on the bayou,Craig Moss,Danny Trejo Danny Glover John Amos,Comedy Action,309887,https://image.tmdb.org/t/p/w500//moZSQaD6GPRELWZO9qbRJjzq7re.jpg,6.2,85min,https://www.imdb.com/title/tt3525346,comedy action craig moss danny trejo danny glover john amos
3100,chappie,Neill Blomkamp,Sharlto Copley Dev Patel Hugh Jackman,Crime Action Science,198184,https://image.tmdb.org/t/p/w500//hpnuXlKKWznTgbheGe4iQXzkuwJ.jpg,6.771,120min,https://www.imdb.com/title/tt1823672,crime action science fiction neill blomkamp sharlto copley dev patel hugh jackman
3101,road hard,Adam Carolla,Adam Carolla Larry Miller David Alan Grier,Comedy,291362,https://image.tmdb.org/t/p/w500//aClpHJtwN2I6DmCZpu54LUVoQJK.jpg,6.8,97min,https://www.imdb.com/title/tt3110770,comedy adam carolla adam carolla larry miller david alan grier
3102,the second best exotic marigold hotel,John Madden,Judi Dench Maggie Smith Dev Patel,Drama Comedy,268238,https://image.tmdb.org/t/p/w500//j4PARl3gDpv2K45YAv0tgocLW5K.jpg,6.4,122min,https://www.imdb.com/title/tt2555736,drama comedy john madden judi dench maggie smith dev patel
3103,unfinished business,Ken Scott,Vince Vaughn Tom Wilkinson Dave Franco,Comedy,239573,https://image.tmdb.org/t/p/w500//eVWVZf3fkx9eNqbHyn9xNlmC2h4.jpg,5.389,91min,https://www.imdb.com/title/tt2358925,comedy ken scott vince vaughn tom wilkinson dave franco
3104,faults,Riley Stearns,Leland Orser Mary Elizabeth Winstead Chris Ellis,Drama Comedy Crime,243526,https://image.tmdb.org/t/p/w500//syUVk09hC701h3C1pjaB69LXwJi.jpg,6.6,90min,https://www.imdb.com/title/tt3021360,drama comedy crime riley stearns leland orser mary elizabeth winstead chris elli
3105,cinderella,Kenneth Branagh,Cate Blanchett Lily James Richard Madden,Family Fantasy Animation,11224,https://image.tmdb.org/t/p/w500//4nssBcQUBadCTBjrAkX46mVEKts.jpg,7.034,74min,https://www.imdb.com/title/tt0042332,family fantasy animation romance kenneth branagh cate blanchett lily james richard madden
3106,the cobbler,Tom McCarthy,Adam Sandler Method Man Ellen Barkin,Fantasy Comedy Drama,238215,https://image.tmdb.org/t/p/w500//iQaJB6upTmR4gL8xmytE5atKWFP.jpg,5.8,99min,https://www.imdb.com/title/tt3203616,fantasy comedy drama tom mccarthy adam sandler method man ellen barkin
3107,cymbeline,Michael Almereyda,Ethan Hawke Ed Harris Milla Jovovich,Drama,240745,https://image.tmdb.org/t/p/w500//uNajzrrYttWofGj3zu672J3NUbA.jpg,3.8,97min,https://www.imdb.com/title/tt3093522,drama michael almereyda ethan hawke ed harris milla jovovich
3108,home sweet hell,Anthony Burns,Katherine Heigl Patrick Wilson Jordana Brewster,Drama Comedy,276839,https://image.tmdb.org/t/p/w500//nitkxCmZ6RiJjHJPxmP4LJSKP4j.jpg,5.393,98min,https://www.imdb.com/title/tt2802136,drama comedy anthony burn katherine heigl patrick wilson jordana brewster
3109,it follows,David Robert Mitchell,Maika Monroe Keir Gilchrist Daniel Zovatto,Horror Mystery,270303,https://image.tmdb.org/t/p/w500//iwnQ1JH1wdWrGYkgWySptJ5284A.jpg,6.561,101min,https://www.imdb.com/title/tt3235888,horror mystery david robert mitchell maika monroe keir gilchrist daniel zovatto
3110,muck,Steve Wolsh,Lachlan Buchanan Puja Mohindra Bryce Draper,Horror,256030,https://image.tmdb.org/t/p/w500//bPYH46Qtc85jeeicjAg4hyL8uC2.jpg,3.0,99min,https://www.imdb.com/title/tt2207484,horror steve wolsh lachlan buchanan puja mohindra bryce draper
3111,run all night,Jaume Collet-Serra,Liam Neeson Joel Kinnaman Vincent D'Onofrio,Action,241554,https://image.tmdb.org/t/p/w500//frzdzHceByAIlwVKvSvY9zqpjyV.jpg,6.404,114min,https://www.imdb.com/title/tt2199571,action jaume collet-serra liam neeson joel kinnaman vincent d'onofrio
3112,danny collins,Dan Fogelman,Al Pacino Annette Bening Jennifer Garner,Music Comedy Drama,256924,https://image.tmdb.org/t/p/w500//sf9ndc9l6alP9DhJF1ZpKz1PaXK.jpg,6.794,107min,https://www.imdb.com/title/tt1772288,music comedy drama dan fogelman al pacino annette bening jennifer garner
3113,the divergent series: insurgent,Robert Schwentke,Shailene Woodley Theo James Octavia Spencer,Action Adventure Science,262500,https://image.tmdb.org/t/p/w500//dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,6.364,119min,https://www.imdb.com/title/tt2908446,action adventure science fiction thriller robert schwentke shailene woodley theo james octavia spencer
3114,do you believe?,Jon Gunn,Mira Sorvino Sean Astin Alexa PenaVega,Fantasy Drama,309425,https://image.tmdb.org/t/p/w500//89fJ4hV9fCB01EvhhLOgjMJI4A6.jpg,6.624,115min,https://www.imdb.com/title/tt4056738,fantasy drama jon gunn mira sorvino sean astin alexa penavega
3115,the gunman,Pierre Morel,Sean Penn Idris Elba Ray Winstone,Action Drama Crime,266396,https://image.tmdb.org/t/p/w500//lnUozDnDANTsDYEdsNsHC6b8IiS.jpg,5.734,115min,https://www.imdb.com/title/tt2515034,action drama crime pierre morel sean penn idris elba ray winstone
3116,tracers,Daniel Benmayor,Taylor Lautner Marie Avgeropoulos Adam Rayner,Action,290764,https://image.tmdb.org/t/p/w500//2XoazCkD4gRlqkJK7q6TOTUx1ta.jpg,6.037,94min,https://www.imdb.com/title/tt2401097,action daniel benmayor taylor lautner marie avgeropoulos adam rayner
